id,course_id,rate,date,display_name,comment
88962892,3173036,1.0,2021-06-29T18:54:25-07:00,Rahul,"I think a beginner needs more than you think.
Not satisfied.
But whatever I learn thanks for that; I don't want my money back as you give your best."
125535470,4913148,5.0,2022-10-07T11:17:41-07:00,Marlo,Aviva is such a natural teacher and healer/healing facilitator! This was really cool opportunity to witness a practical component of this work. What a wonderful intro about tuning into and working with electromagnetic fields :) Thank you for sharing!
68767147,3178386,3.5,2020-10-19T06:35:37-07:00,Yamila Andrea,"Muy buena la introducción para entender la base de la legislación alimentaria en Argentina, sugeriría que se ofreciera más material descargable y que también las diapositivas de presentación se pudieran descargar, cuando aparece la presentadora en la esquina inferior tapa el final de los textos.   
También sería muy bueno que se hablará de ejemplos de aplicación"
125029758,3175814,5.0,2022-09-30T21:13:49-07:00,Jacqueline,This course is the best on Udemy.  This breakdance instructor breakdance with such style and bravado like the Puerto Rican New York breakdancers.  They are the authentic breakdancers and I should know because I'm a New Yorker and was around in the 80's when breakdancing was created and in the 70's when rap and grafitti were created.  New York was the creator of these art forms
76584052,3174896,4.5,2021-01-30T08:45:11-08:00,Anthony,"I found this course very helpful. It was full of information, well structured and Amal has a calm and engaging presentation style."
124129784,4693438,1.0,2022-09-20T11:30:29-07:00,Jiang,"nothing information there,"
121769970,4693272,3.5,2022-08-22T11:48:56-07:00,Kenneth,Multiple spelling mistakes and one or more questions are not complete.
57260120,3168632,5.0,2020-06-02T22:56:44-07:00,Tony,Very unique way of teaching. Simple but Powerful tools to use. Loved it!
77427106,3188362,4.0,2021-02-09T21:19:29-08:00,HIROKO,グルテンフリーのポイントがよくわかり生活習慣を見直すきっかけになりました。ありがとうございました。
103846020,4164550,4.5,2022-01-02T09:04:53-08:00,Jess,Good Course!  Information is well organized clear and concise.  Thanks
93524450,4164836,5.0,2021-08-21T16:28:08-07:00,Donna,"Thanks Kate, great course and valuable information for anyone wanting to purchase software. 
Kind regards, Donna."
